Model ID,English Name,Chinese Name,System
FJ1478M,long head of left biceps brachii,左肱二头肌长头,muscular
FJ1479,long head of right triceps brachii,右肱三头肌长头,muscular
FJ1479M,long head of left triceps brachii,左肱三头肌长头,muscular
FJ1480,medial head of right triceps brachii,右肱三头肌内侧头,muscular
FJ1480M,medial head of left triceps brachii,左肱三头肌内侧头,muscular
FJ1481,oblique head of right adductor pollicis,右拇收肌斜头,muscular
FJ1481M,oblique head of left adductor pollicis,左拇收肌斜头,muscular
FJ1482,opponens digiti minimi of right hand,右手小指对掌肌,muscular
FJ1482M,opponens digiti minimi of left hand,左手小指对掌肌,muscular
FJ1483,right abductor pollicis brevis,右拇短展肌,muscular
FJ1483M,left abductor pollicis brevis,左拇短展肌,muscular
FJ1484,right abductor pollicis longus,右拇长展肌,muscular
FJ1484M,left abductor pollicis longus,左拇长展肌,muscular
FJ1485,right anconeus,右肘肌,muscular
FJ1485M,left anconeus,左肘肌,muscular
FJ1486,right brachialis,右肱肌,muscular
FJ1486M,left brachialis,左肱肌,muscular
FJ1487,right brachioradialis,右肱桡肌,muscular
FJ1487M,left brachioradialis,左肱桡肌,muscular
FJ1488,right coracobrachialis,右喙肱肌,muscular
FJ1488M,left coracobrachialis,左喙肱肌,muscular
FJ1489,right extensor carpi radialis brevis,右桡侧腕短伸肌,muscular
FJ1489M,left extensor carpi radialis brevis,左桡侧腕短伸肌,muscular
FJ1490,right extensor carpi radialis longus,右桡侧腕长伸肌,muscular
FJ1490M,left extensor carpi radialis longus,左桡侧腕长伸肌,muscular
FJ1491,right extensor digiti minimi,右小指伸肌,muscular
FJ1491M,left extensor digiti minimi,左小指伸肌,muscular
FJ1492,right extensor digitorum,右指伸肌,muscular
FJ1492M,left extensor digitorum,左指伸肌,muscular
FJ1493,right extensor indicis,右示指伸肌,muscular
FJ1493M,left extensor indicis,左示指伸肌,muscular
FJ1494,right extensor pollicis brevis,右拇短伸肌,muscular
FJ1494M,left extensor pollicis brevis,左拇短伸肌,muscular
FJ1495,right extensor pollicis longus,右拇长伸肌,muscular
FJ1495M,left extensor pollicis longus,左拇长伸肌,muscular
FJ1496,right flexor carpi radialis,右桡侧腕屈肌,muscular
FJ1496M,left flexor carpi radialis,左桡侧腕屈肌,muscular
FJ1497,right flexor digitorum profundus,右指深屈肌,muscular
FJ1497M,left flexor digitorum profundus,左指深屈肌,muscular
FJ1498,right flexor pollicis longus,右拇长屈肌,muscular
FJ1498M,left flexor pollicis longus,左拇长屈肌,muscular
FJ1499,right flexor digitorum superficialis,右指浅屈肌,muscular
FJ1499M,left flexor digitorum superficialis,左指浅屈肌,muscular
FJ1500,right infraspinatus muscle,右冈下肌,muscular
FJ1500M,left infraspinatus muscle,左冈下肌,muscular
FJ1501,right opponens pollicis,右拇对掌肌,muscular
FJ1501M,left opponens pollicis,左拇对掌肌,muscular
FJ1502,right palmaris longus,右掌长肌,muscular
FJ1502M,left palmaris longus,左掌长肌,muscular
FJ1503,right pronator quadratus,右旋前方肌,muscular
FJ1503M,left pronator quadratus,左旋前方肌,muscular
FJ1504,right subscapularis,右肩胛下肌,muscular
FJ1504M,left subscapularis,左肩胛下肌,muscular
FJ1505,right supinator,右旋后肌,muscular
FJ1505M,left supinator,左旋后肌,muscular
FJ1506,right supraspinatus,右冈上肌,muscular
FJ1506M,left supraspinatus,左冈上肌,muscular
FJ1507,right teres major,右大圆肌,muscular
FJ1507M,left teres major,左大圆肌,muscular
FJ1508,right teres minor,右小圆肌,muscular
FJ1508M,left teres minor,左小圆肌,muscular
FJ1512,short head of right biceps brachii,右肱二头肌短头,muscular
FJ1512M,short head of left biceps brachii,左肱二头肌短头,muscular
FJ1513,spinal part of right deltoid,右三角肌斜方体部,muscular
FJ1513M,spinal part of left deltoid,左三角肌斜方体部,muscular
FJ1514,superficial head of right flexor pollicis brevis,右拇短屈肌浅头,muscular
FJ1514M,superficial head of left flexor pollicis brevis,左拇短屈肌浅头,muscular
FJ1515,transverse head of right adductor pollicis,右拇收肌横头,muscular
FJ1515M,transverse head of left adductor pollicis,左拇收肌横头,muscular
FJ1516,ulnar head of right pronator teres,右旋前圆肌尺骨头,muscular
FJ1516M,ulnar head of left pronator teres,左旋前圆肌尺骨头,muscular
FJ1517,right extensor carpi ulnaris,右尺侧腕伸肌,muscular
FJ1517M,left extensor carpi ulnaris,左尺侧腕伸肌,muscular
FJ1518,ulnar head of right flexor carpi ulnaris,右尺侧腕屈肌尺骨头,muscular
FJ1518M,ulnar head of left flexor carpi ulnaris,左尺侧腕屈肌尺骨头,muscular
FJ1520,ascending part of right trapezius,右斜方肌升部,muscular
FJ1520M,ascending part of left trapezius,左斜方肌升部,muscular
FJ1521,descending part of right trapezius,右斜方肌降部,muscular
FJ1521M,descending part of left trapezius,左斜方肌降部,muscular
FJ1522,right lumbar rotator,右腰回旋肌,muscular
FJ1522M,left lumbar rotator,左腰回旋肌,muscular
FJ1524,right cervical rotator,右颈回旋肌,muscular
FJ1524M,left cervical rotator,左颈回旋肌,muscular
FJ1525,muscle of vertebral column,脊柱肌,muscular
FJ1525M,muscle of vertebral column,脊柱肌,muscular
FJ1526,right iliocostalis cervicis,右颈髂肋肌,muscular
FJ1526M,left iliocostalis cervicis,左颈髂肋肌,muscular
FJ1527,right iliocostalis lumborum,右腰髂肋肌,muscular
FJ1527M,left iliocostalis lumborum,左腰髂肋肌,muscular
FJ1528,right iliocostalis thoracis,右胸髂肋肌,muscular
FJ1528M,left iliocostalis thoracis,左胸髂肋肌,muscular
FJ1532,right levator scapulae,右肩胛提肌,muscular
FJ1532M,left levator scapulae,左肩胛提肌,muscular
FJ1533,right longissimus capitis,右头最长肌,muscular
FJ1533M,left longissimus capitis,左头最长肌,muscular
FJ1534,right longissimus cervicis,右颈最长肌,muscular
FJ1534M,left longissimus cervicis,左颈最长肌,muscular
FJ1535,right longissimus thoracis,右胸最长肌,muscular
FJ1535M,left longissimus thoracis,左胸最长肌,muscular
FJ1536,right rhomboid major,右大菱形肌,muscular
FJ1536M,left rhomboid major,左大菱形肌,muscular
FJ1537,right rhomboid minor,右小菱形肌,muscular
FJ1537M,left rhomboid minor,左小菱形肌,muscular
FJ1538,right semispinalis capitis,右头半棘肌,muscular
FJ1538M,left semispinalis capitis,左头半棘肌,muscular
FJ1539,right semispinalis cervicis,右颈半棘肌,muscular
FJ1539M,left semispinalis cervicis,左颈半棘肌,muscular
FJ1540,right semispinalis thoracis,右胸半棘肌,muscular
FJ1540M,left semispinalis thoracis,左胸半棘肌,muscular
FJ1541,right serratus posterior inferior,右下后锯肌,muscular
FJ1541M,left serratus posterior inferior,左下后锯肌,muscular
FJ1542,right serratus posterior superior,右上后锯肌,muscular
FJ1542M,left serratus posterior superior,左上后锯肌,muscular
FJ1543,superficial postvertebral muscle,浅层椎后肌,muscular
FJ1543M,superficial postvertebral muscle,浅层椎后肌,muscular
FJ1544,right spinalis thoracis,右胸棘肌,muscular
FJ1544M,left spinalis thoracis,左胸棘肌,muscular
FJ1545,right splenius capitis,右头夹肌,muscular
FJ1545M,left splenius capitis,左头夹肌,muscular
FJ1546,right splenius cervicis,右颈夹肌,muscular
FJ1546M,left splenius cervicis,左颈夹肌,muscular
FJ1547,lateral lumbar intertransversarius,腰外侧横突间肌,muscular
FJ1547M,lateral lumbar intertransversarius,腰外侧横突间肌,muscular
FJ1548,medial lumbar intertransversarius,腰内侧横突间肌,muscular
FJ1548M,medial lumbar intertransversarius,腰内侧横突间肌,muscular
FJ1551,right interspinalis thoracis,右胸棘间肌,muscular
FJ1551M,left interspinalis thoracis,左胸棘间肌,muscular
FJ1554,transverse part of right trapezius,右斜方肌横部,muscular
FJ1554M,transverse part of left trapezius,左斜方肌横部,muscular
FJ1555,left digastric,左二腹肌,muscular
FJ1556,right digastric,右二腹肌,muscular
FJ1557,inferior oblique part of left longus colli,左颈长肌下斜部,muscular
FJ1558,left platysma,左颈阔肌,muscular
FJ1559,left geniohyoid,左颏舌骨肌,muscular
FJ1560,left digastric,左二腹肌,muscular
FJ1561,left longus capitis,左头长肌,muscular
FJ1562,left mylohyoid,左下颌舌骨肌,muscular
FJ1563,left obliquus capitis inferior,左头下斜肌,muscular
FJ1564,left obliquus capitis superior,左头上斜肌,muscular
FJ1565,left omohyoid,左肩胛舌骨肌,muscular
FJ1566,left rectus capitis anterior,左头前直肌,muscular
FJ1567,left rectus capitis posterior major,左头后大直肌,muscular
FJ1568,left rectus capitis posterior minor,左头后小直肌,muscular
FJ1569,left rectus capitis lateralis,左头侧直肌,muscular
FJ1570,left scalenus anterior,左前斜角肌,muscular
FJ1571,left scalenus medius,左中斜角肌,muscular
FJ1572,left scalenus posterior,左后斜角肌,muscular
FJ1573,left sternocleidomastoid,左胸锁乳突肌,muscular
FJ1574,left sternohyoid,左胸骨舌骨肌,muscular
FJ1575,left sternothyroid,左胸骨甲状肌,muscular
FJ1576,left stylohyoid,左茎突舌骨肌,muscular
FJ1577,left thyrohyoid,左甲状舌骨肌,muscular
FJ1578,left digastric,左二腹肌,muscular
FJ1579,right digastric,右二腹肌,muscular
FJ1580,right geniohyoid,右颏舌骨肌,muscular
FJ1581,right intermediate tendon,右二腹肌中间腱,muscular
FJ1582,right longus capitis,右头长肌,muscular
FJ1583,right mylohyoid,右下颌舌骨肌,muscular
FJ1584,right obliquus capitis inferior,右头下斜肌,muscular
FJ1585,right obliquus capitis superior,右头上斜肌,muscular
FJ1586,right omohyoid,右肩胛舌骨肌,muscular
FJ1587,right platysma,右颈阔肌,muscular
FJ1588,right rectus capitis anterior,右头前直肌,muscular
FJ1589,right rectus capitis posterior major,右头后大直肌,muscular
FJ1590,right rectus capitis posterior minor,右头后小直肌,muscular
FJ1591,right rectus capitis lateralis,右头侧直肌,muscular
FJ1592,right scalenus anterior,右前斜角肌,muscular
FJ1593,right scalenus medius,右中斜角肌,muscular
FJ1594,right scalenus posterior,右后斜角肌,muscular
FJ1595,right sternocleidomastoid,右胸锁乳突肌,muscular
FJ1596,right sternohyoid,右胸骨舌骨肌,muscular
FJ1597,right sternothyroid,右胸骨甲状肌,muscular
FJ1598,right stylohyoid,右茎突舌骨肌,muscular
FJ1599,right thyrohyoid,右甲状舌骨肌,muscular
FJ1600,superior oblique part of left longus colli,左颈长肌上斜部,muscular
FJ1601,vertical intermediate part of left longus colli,左颈长肌垂直中部,muscular
FJ2418,anterolateral head of lateral papillary muscle of left ventricle,左心室外侧乳头肌前外侧头,muscular
FJ2419,anterior papillary muscle of right ventricle,右心室前乳头肌,muscular
FJ2429,lateral papillary muscle of left ventricle,左心室外侧乳头肌,muscular
FJ2430,posterior papillary muscle of right ventricle,右心室后乳头肌,muscular
FJ2437,septal papillary muscle of right ventricle,右心室隔侧乳头肌,muscular
FJ2542,left coccygeus,左尾骨肌,muscular
FJ2543,superficial perineal muscle,会阴浅肌,muscular
FJ2544,left iliococcygeus,左髂尾肌,muscular
FJ2545,left pubococcygeus,左耻尾肌,muscular
FJ2546,left puborectalis,左耻骨直肠肌,muscular
FJ2547,right coccygeus,右尾骨肌,muscular
FJ2548,superficial perineal muscle,会阴浅肌,muscular
FJ2549,right iliococcygeus,右髂尾肌,muscular
FJ2550,right pubococcygeus,右耻尾肌,muscular
FJ2551,right puborectalis,右耻骨直肠肌,muscular
FJ2552,tendinous arch of levator ani,提肛肌腱弓,muscular
FJ2553,tendinous arch of levator ani,提肛肌腱弓,muscular
FJ2568,subdivision of muscle layer,肌层细分,muscular
FJ2569,subdivision of muscle layer,肌层细分,muscular
FJ2570,subdivision of muscle layer,肌层细分,muscular
FJ2774,left aryepiglotticus,左杓会厌肌,muscular
FJ2781,oblique part of left cricothyroid,左环甲肌斜部,muscular
FJ2783,straight part of left cricothyroid,左环甲肌直部,muscular
FJ2791,right aryepiglotticus,右杓会厌肌,muscular
FJ2799,oblique part of right cricothyroid,右环甲肌斜部,muscular
FJ2801,straight part of right cricothyroid,环甲肌直部 (右),muscular
FJ2809,intrinsic muscle of larynx,喉内肌,muscular
FJ3131,nonparenchymatous organ,非实质性器官,muscular
FJ1285,left choroid,左脉络膜,cardiovascular
FJ1286,left choroid,左脉络膜,cardiovascular
FJ1297,left iris,左虹膜,cardiovascular
FJ1336,right choroid,右脉络膜,cardiovascular
FJ1337,right choroid,右脉络膜,cardiovascular
FJ1348,right iris,右虹膜,cardiovascular
FJ1654,right anterior cerebral artery,右大脑前动脉,cardiovascular
FJ1654M,left anterior cerebral artery,左大脑前动脉,cardiovascular
FJ1655,subdivision of cerebral part of internal carotid artery,颈内动脉大脑段分支,cardiovascular
FJ1656,anterior inferior cerebellar artery,小脑前下动脉,cardiovascular
FJ1656M,anterior inferior cerebellar artery,小脑前下动脉,cardiovascular
FJ1657,right anterior spinal artery,右脊髓前动脉,cardiovascular
FJ1657M,left anterior spinal artery,左脊髓前动脉,cardiovascular
FJ1658,right anterior choroidal artery,右脉络膜前动脉,cardiovascular
FJ1658M,left anterior choroidal artery,左脉络膜前动脉,cardiovascular
FJ1659,right anterior temporal artery,右前颞动脉,cardiovascular
FJ1659M,left anterior temporal artery,左前颞动脉,cardiovascular
FJ1660,insular part of right middle cerebral artery,右大脑中动脉岛叶段,cardiovascular
FJ1660M,insular part of left middle cerebral artery,左大脑中动脉岛叶段,cardiovascular
FJ1661,anterior temporal branch of right lateral occipital artery,右外侧枕动脉颞前支,cardiovascular
FJ1661M,anterior temporal branch of left lateral occipital artery,左外侧枕动脉颞前支,cardiovascular
FJ1662,anterolateral central branch of right middle cerebral artery,右大脑中动脉前外侧中央支,cardiovascular
FJ1662M,anterolateral central branch of left middle cerebral artery,左大脑中动脉前外侧中央支,cardiovascular
FJ1663,anterolateral central branch of right middle cerebral artery,右大脑中动脉前外侧中央支,cardiovascular
FJ1663M,anterolateral central branch of left middle cerebral artery,左大脑中动脉前外侧中央支,cardiovascular
FJ1664,subdivision of cerebral part of internal carotid artery,颈内动脉大脑段分支,cardiovascular
FJ1664M,subdivision of cerebral part of internal carotid artery,颈内动脉大脑段分支,cardiovascular
FJ1665,subdivision of cerebral part of internal carotid artery,颈内动脉大脑段分支,cardiovascular
FJ1665M,subdivision of cerebral part of internal carotid artery,颈内动脉大脑段分支,cardiovascular
FJ1666,artery of right postcentral sulcus,右中央后沟动脉,cardiovascular
FJ1666M,artery of left postcentral sulcus,左中央后沟动脉,cardiovascular
FJ1667,right anterior parietal artery,右前顶动脉,cardiovascular
FJ1667M,left anterior parietal artery,左前顶动脉,cardiovascular
FJ1668,artery of right precentral sulcus,右中央前沟动脉,cardiovascular
FJ1668M,artery of left precentral sulcus,左中央前沟动脉,cardiovascular
FJ1669,artery of right precentral sulcus,右中央前沟动脉,cardiovascular
FJ1669M,artery of left precentral sulcus,左中央前沟动脉,cardiovascular
FJ1670,artery of right precentral sulcus,右中央前沟动脉,cardiovascular
FJ1670M,artery of left precentral sulcus,左中央前沟动脉,cardiovascular
FJ1671,precuneal branch of right pericallosal artery,右胼周动脉楔前叶支,cardiovascular
FJ1671M,precuneal branch of left pericallosal artery,左胼周动脉楔前叶支,cardiovascular
FJ1672,subdivision of subclavian artery,锁骨下动脉分支,cardiovascular
FJ1673,branch of right middle cerebral artery to right angular gyrus,右大脑中动脉角回支,cardiovascular
FJ1673M,branch of left middle cerebral artery to left angular gyrus,左大脑中动脉角回支,cardiovascular
FJ1674,branch of right anterior choroidal artery to posterior limb of right internal capsule,右脉络膜前动脉内囊后肢支,cardiovascular
FJ1674M,branch of left anterior choroidal artery to posterior limb of left internal capsule,左脉络膜前动脉内囊后肢支,cardiovascular
FJ1675,right thalamogeniculate artery,右丘脑膝状体动脉,cardiovascular
FJ1675M,left thalamogeniculate artery,左丘脑膝状体动脉,cardiovascular
FJ1676,right callosomarginal artery,右胼缘动脉,cardiovascular
FJ1676M,left callosomarginal artery,左胼缘动脉,cardiovascular
FJ1677,right splenial artery,右胝体压部动脉,cardiovascular
FJ1677M,left splenial artery,左胝体压部动脉,cardiovascular
FJ1678,right splenial artery,右胝体压部动脉,cardiovascular
FJ1678M,left splenial artery,左胝体压部动脉,cardiovascular
FJ1679,hypothalamic branch of right posterior communicating artery,右后交通动脉下丘脑支,cardiovascular
FJ1679M,hypothalamic branch of left posterior communicating artery,左后交通动脉下丘脑支,cardiovascular
FJ1680,middle temporal branch of right lateral occipital artery,右外侧枕动脉颞中支,cardiovascular
FJ1680M,middle temporal branch of left lateral occipital artery,左外侧枕动脉颞中支,cardiovascular
FJ1681,intermediomedial branch of right callosomarginal artery,右胼缘动脉内侧中间支,cardiovascular
FJ1681M,intermediomedial branch of left callosomarginal artery,左胼缘动脉内侧中间支,cardiovascular
FJ1682,right internal carotid artery,右颈内动脉,cardiovascular
FJ1682M,left internal carotid artery,左颈内动脉,cardiovascular
FJ1683,lateral branch of right superior cerebellar artery,右小脑上动脉外侧支,cardiovascular
FJ1683M,lateral branch of left superior cerebellar artery,左小脑上动脉外侧支,cardiovascular
FJ1684,lateral branch of right pontine artery,右脑桥动脉外侧支,cardiovascular
FJ1684M,lateral branch of left pontine artery,左脑桥动脉外侧支,cardiovascular
FJ1685,right lateral frontobasal artery,右额底外侧动脉,cardiovascular
FJ1685M,left lateral frontobasal artery,左额底外侧动脉,cardiovascular
FJ1686,right lateral frontobasal artery,右额底外侧动脉,cardiovascular
FJ1686M,left lateral frontobasal artery,左额底外侧动脉,cardiovascular
FJ1687,right lateral occipital artery,右外侧枕动脉,cardiovascular
FJ1687M,left lateral occipital artery,左外侧枕动脉,cardiovascular
FJ1688,medial branch of right superior cerebellar artery,右小脑上动脉内侧支,cardiovascular
FJ1688M,medial branch of left superior cerebellar artery,左小脑上动脉内侧支,cardiovascular
FJ1689,medial branch of right pontine artery,右脑桥动脉内侧支,cardiovascular
FJ1689M,medial branch of left pontine artery,左脑桥动脉内侧支,cardiovascular
FJ1690,right medial frontobasal artery,右额底内侧动脉,cardiovascular
FJ1690M,left medial frontobasal artery,左额底内侧动脉,cardiovascular
FJ1691,right medial occipital artery,右内侧枕动脉,cardiovascular
FJ1691M,left medial occipital artery,左内侧枕动脉,cardiovascular
FJ1692,sphenoid part of right middle cerebral artery,右大脑中动脉蝶段,cardiovascular
FJ1692M,sphenoid part of left middle cerebral artery,左大脑中动脉蝶段,cardiovascular
FJ1693,middle temporal branch of right middle cerebral artery,右大脑中动脉颞中支,cardiovascular
FJ1693M,middle temporal branch of left middle cerebral artery,左大脑中动脉颞中支,cardiovascular
FJ1694,insular part of right middle cerebral artery,右大脑中动脉岛叶段,cardiovascular
FJ1694M,insular part of left middle cerebral artery,左大脑中动脉岛叶段,cardiovascular
FJ1695,right ophthalmic artery,右眼动脉,cardiovascular
FJ1695M,left ophthalmic artery,左眼动脉,cardiovascular
FJ1696,paracentral branch of right callosomarginal artery,右胼缘动脉旁中央支,cardiovascular
FJ1696M,paracentral branch of left callosomarginal artery,左胼缘动脉旁中央支,cardiovascular
FJ1697,paracentral branch of right callosomarginal artery,右胼缘动脉旁中央支,cardiovascular
FJ1697M,paracentral branch of left callosomarginal artery,左胼缘动脉旁中央支,cardiovascular
FJ1698,paracentral branch of right callosomarginal artery,右胼缘动脉旁中央支,cardiovascular
FJ1698M,paracentral branch of left callosomarginal artery,左胼缘动脉旁中央支,cardiovascular
FJ1699,right pericallosal artery,右胼周动脉,cardiovascular
FJ1699M,left pericallosal artery,左胼周动脉,cardiovascular
FJ1700,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1700M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1701,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1701M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1702,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1702M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1703,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1703M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1704,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1704M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1705,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1705M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1706,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1706M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1707,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1707M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1708,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1708M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1709,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1709M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1710,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1710M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1711,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1711M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1712,right polar temporal artery,右颞极动脉,cardiovascular
FJ1712M,left polar temporal artery,左颞极动脉,cardiovascular
FJ1713,right posterior communicating artery,右后交通动脉,cardiovascular
FJ1713M,left posterior communicating artery,左后交通动脉,cardiovascular
FJ1714,postcommunicating part of right posterior cerebral artery,右大脑后动脉交通后段,cardiovascular
FJ1714M,postcommunicating part of left posterior cerebral artery,左大脑后动脉交通后段,cardiovascular
FJ1715,right posterior inferior cerebellar artery,右小脑后下动脉,cardiovascular
FJ1715M,left posterior inferior cerebellar artery,左小脑后下动脉,cardiovascular
FJ1716,right posterior parietal artery,右后顶动脉,cardiovascular
FJ1716M,left posterior parietal artery,左后顶动脉,cardiovascular
FJ1717,posterior temporal branch of right middle cerebral artery,右大脑中动脉颞后支,cardiovascular
FJ1717M,posterior temporal branch of left middle cerebral artery,左大脑中动脉颞后支,cardiovascular
FJ1718,trunk of inferior terminal branch of right middle cerebral artery,右大脑中动脉下终支干,cardiovascular
FJ1718M,trunk of inferior terminal branch of left middle cerebral artery,左大脑中动脉下终支干,cardiovascular
FJ1719,set of posterior temporal branches of lateral occipital artery,外侧枕动脉颞后支 (一组),cardiovascular
FJ1719M,set of posterior temporal branches of lateral occipital artery,外侧枕动脉颞后支 (一组),cardiovascular
FJ1720,right thalamoperforating artery,右丘脑穿通动脉,cardiovascular
FJ1720M,left thalamoperforating artery,左丘脑穿通动脉,cardiovascular
FJ1721,posteromedial central branch of right posterior cerebral artery,右大脑后动脉后内侧中央支,cardiovascular
FJ1721M,posteromedial central branch of left posterior cerebral artery,左大脑后动脉后内侧中央支,cardiovascular
FJ1722,posteromedial branch of right callosomarginal artery,右胼缘动脉后内侧支,cardiovascular
FJ1722M,posteromedial branch of left callosomarginal artery,左胼缘动脉后内侧支,cardiovascular
FJ1723,precommunicating part of right posterior cerebral artery,右大脑后动脉交通前段,cardiovascular
FJ1723M,precommunicating part of left posterior cerebral artery,左大脑后动脉交通前段,cardiovascular
FJ1724,right prefrontal artery,右额前动脉,cardiovascular
FJ1724M,left prefrontal artery,左额前动脉,cardiovascular
FJ1725,right vertebral artery,右椎动脉,cardiovascular
FJ1725M,left vertebral artery,左椎动脉,cardiovascular
FJ1726,right superior cerebellar artery,右小脑上动脉,cardiovascular
FJ1726M,left superior cerebellar artery,左小脑上动脉,cardiovascular
FJ1727,right posterior medial choroidal artery,右后内侧脉络膜动脉,cardiovascular
FJ1727M,left posterior medial choroidal artery,左后内侧脉络膜动脉,cardiovascular
FJ1728,superior vermian branch of medial branch of right superior cerebellar artery,右小脑上动脉内侧支小脑上蚓支,cardiovascular
FJ1728M,superior vermian branch of medial branch of left superior cerebellar artery,左小脑上动脉内侧支小脑上蚓支,cardiovascular
FJ1729,temporo-occipital branch of right middle cerebral artery,右大脑中动脉颞枕支,cardiovascular
FJ1729M,temporo-occipital branch of left middle cerebral artery,左大脑中动脉颞枕支,cardiovascular
FJ1730,region of ventricular system of neuraxis,神经轴脑室系统区域,cardiovascular
FJ1731,region of ventricular system of neuraxis,神经轴脑室系统区域,cardiovascular
FJ1755,region of wall of ventricular system of neuraxis,神经轴脑室壁区域,cardiovascular
FJ1767,left lateral ventricle,左侧脑室,cardiovascular
FJ1803,region of wall of ventricular system of neuraxis,神经轴脑室壁区域,cardiovascular
FJ1814,right lateral ventricle,右侧脑室,cardiovascular
FJ1844,subdivision of subclavian artery,锁骨下动脉分支,cardiovascular
FJ1846,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ1853,region of vascular tree organ,血管树器官区域,cardiovascular
FJ1867,subdivision of inferior vena caval tree,下腔静脉系分支,cardiovascular
FJ1874,left lobe branch of left hepatic artery,肝左动脉左叶支,cardiovascular
FJ1883,caudate lobe tributary of left hepatic biliary tree,左肝胆道树尾状叶支,cardiovascular
FJ1893,left portal vein,左门静脉,cardiovascular
FJ1913,right portal vein,右门静脉,cardiovascular
FJ1914,subdivision of right hepatic portal vein,右门静脉分支,cardiovascular
FJ1916,caudate lobe branch of right hepatic artery,肝右动脉尾状叶支,cardiovascular
FJ1924,right lobe branch of right hepatic artery,肝右动脉右叶支,cardiovascular
FJ1928,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ1931,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ1932,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ1933,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ1934,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ1935,right superior intercostal artery,右最上肋间动脉,cardiovascular
FJ1936,right superior epigastric artery,右腹壁上动脉,cardiovascular
FJ1937,right internal thoracic artery,右胸廓内动脉,cardiovascular
FJ1938,right lateral thoracic artery,右胸外侧动脉,cardiovascular
FJ1939,right first posterior intercostal artery,右第1肋间后动脉,cardiovascular
FJ1950,right second posterior intercostal artery,右第2肋间后动脉,cardiovascular
FJ1967,right subcostal artery,右肋下动脉,cardiovascular
FJ1969,right musculophrenic artery,右肌膈动脉,cardiovascular
FJ1970,left superior intercostal artery,左最上肋间动脉,cardiovascular
FJ1971,left superior epigastric artery,左腹壁上动脉,cardiovascular
FJ1972,left internal thoracic artery,左胸廓内动脉,cardiovascular
FJ1973,left first posterior intercostal artery,左第1肋间后动脉,cardiovascular
FJ1974,left second posterior intercostal artery,左第2肋间后动脉,cardiovascular
FJ1976,left lateral thoracic artery,左胸外侧动脉,cardiovascular
FJ1977,left subcostal artery,左肋下动脉,cardiovascular
FJ1979,left musculophrenic artery,左肌膈动脉,cardiovascular
FJ1981,subdivision of superior vena caval tree,上腔静脉系分支,cardiovascular
FJ1985,set of anterior intercostal veins,肋间前静脉 (一组),cardiovascular
FJ1986,left superior intercostal vein,左最上肋间静脉,cardiovascular
FJ1987,left subcostal vein,左肋下静脉,cardiovascular
FJ1988,left musculophrenic vein,左肌膈静脉,cardiovascular
FJ1991,right superior intercostal vein,右最上肋间静脉,cardiovascular
FJ1993,right internal thoracic vein,右胸廓内静脉,cardiovascular
FJ1994,set of anterior intercostal veins,肋间前静脉 (一组),cardiovascular
FJ1995,right subcostal vein,右肋下静脉,cardiovascular
FJ1996,right musculophrenic vein,右肌膈静脉,cardiovascular
FJ2011,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ2013,segment of arterial tree organ,动脉树器官段,cardiovascular
FJ2025,branch of inferior branch of ileocolic artery,回结肠动脉下支分支,cardiovascular
FJ2034,ileal branch of inferior branch of ileocolic artery,回结肠动脉下支回肠支,cardiovascular
FJ2038,right renal artery,右肾动脉,cardiovascular
